treatment,game,round,time,id,side,valuation,bid,price,match_id,match_time,type,status
BBLimS,1,1,5,1046,Seller,78.0,82,82.0,1045.0,8.0,Manual,Accepted
BBLimS,1,1,5,1040,Seller,63.0,200,,,,Manual,Expired
BBLimS,1,1,6,1059,Buyer,93.0,5,,,,Manual,Expired
BBLimS,1,1,7,1054,Seller,98.0,150,,,,Manual,Expired
BBLimS,1,1,7,1055,Buyer,103.0,20,,,,Manual,Expired
BBLimS,1,1,8,1045,Buyer,128.0,100,82.0,1046.0,8.0,Manual,Replaced
BBLimS,1,1,9,1043,Buyer,133.0,110,110.0,1052.0,9.0,Manual,Accepted
BBLimS,1,1,9,1052,Seller,93.0,110,110.0,1043.0,9.0,Manual,Replaced
BBLimS,1,1,10,1056,Seller,,25,25.0,1049.0,13.0,Manual,Accepted
BBLimS,1,1,13,1049,Buyer,118.0,85,25.0,1056.0,13.0,Manual,Replaced
BBLimS,1,1,15,1053,Buyer,108.0,90,90.0,1044.0,17.0,Manual,Accepted
BBLimS,1,1,17,1044,Seller,73.0,78,90.0,1053.0,17.0,Manual,Replaced
BBLimS,1,1,17,1054,Seller,98.0,125,,,,Manual,Replaced
BBLimS,1,1,21,1055,Buyer,103.0,30,,,,Manual,Expired
BBLimS,1,1,23,1040,Seller,63.0,120,,,,Manual,Expired
BBLimS,1,1,24,1054,Seller,98.0,155,,,,Manual,Expired
BBLimS,1,1,28,1059,Buyer,93.0,25,,,,Manual,Expired
BBLimS,1,1,31,1051,Buyer,113.0,60,,,,Manual,Expired
BBLimS,1,1,33,1055,Buyer,103.0,50,,,,Manual,Expired
BBLimS,1,1,39,1040,Seller,63.0,100,100.0,1051.0,47.0,Manual,Accepted
BBLimS,1,1,41,1054,Seller,98.0,129,,,,Manual,Expired
BBLimS,1,1,44,1059,Buyer,93.0,60,,,,Manual,Expired
BBLimS,1,1,47,1055,Buyer,103.0,60,,,,Manual,Expired
BBLimS,1,1,47,1051,Buyer,113.0,100,100.0,1040.0,47.0,Manual,Replaced
BBLimS,1,1,47,1047,Buyer,123.0,30,,,,Manual,Expired
BBLimS,1,1,58,1059,Buyer,93.0,63,,,,Manual,Expired
BBLimS,1,1,59,1047,Buyer,123.0,50,,,,Manual,Expired
BBLimS,1,1,61,1055,Buyer,103.0,70,,,,Manual,Expired
BBLimS,1,1,65,1054,Seller,98.0,109,,,,Manual,Expired
BBLimS,1,1,70,1047,Buyer,123.0,40,,,,Manual,Expired
BBLimS,1,1,71,1059,Buyer,93.0,65,,,,Manual,Expired
BBLimS,1,1,74,1055,Buyer,103.0,80,,,,Manual,Expired
BBLimS,1,1,81,1047,Buyer,123.0,20,,,,Manual,Replaced
BBLimS,1,1,82,1054,Seller,98.0,199,,,,Manual,Expired
BBLimS,1,1,84,1059,Buyer,93.0,65,,,,Manual,Expired
BBLimS,1,1,86,1055,Buyer,103.0,90,90.0,1042.0,90.0,Manual,Accepted
BBLimS,1,1,90,1042,Seller,68.0,70,90.0,1055.0,90.0,Manual,Replaced
BBLimS,1,1,90,1047,Buyer,123.0,10,,,,Manual,Expired
BBLimS,1,1,97,1054,Seller,98.0,199,,,,Manual,Expired
BBLimS,1,1,97,1059,Buyer,93.0,65,,,,Manual,Expired
BBLimS,1,1,100,1047,Buyer,123.0,123,,,,Manual,Expired
BBLimS,1,1,112,1054,Seller,98.0,199,,,,Manual,Expired
BBLimS,1,1,113,1059,Buyer,93.0,75,,,,Manual,Expired
BBLimS,1,1,120,1047,Buyer,123.0,123,,,,Manual,Expired
BBLimS,1,2,3,1042,Seller,68.0,85,,,,Manual,Expired
BBLimS,1,2,5,1040,Seller,63.0,150,,,,Manual,Expired
BBLimS,1,2,5,1046,Seller,78.0,83,83.0,1045.0,6.0,Manual,Accepted
BBLimS,1,2,5,1056,Seller,,34,34.0,1049.0,6.0,Manual,Accepted
BBLimS,1,2,6,1049,Buyer,118.0,50,34.0,1056.0,6.0,Manual,Replaced
BBLimS,1,2,6,1045,Buyer,128.0,100,83.0,1046.0,6.0,Manual,Replaced
BBLimS,1,2,6,1059,Buyer,93.0,10,,,,Manual,Expired
BBLimS,1,2,6,1043,Buyer,133.0,75,,,,Manual,Expired
BBLimS,1,2,7,1055,Buyer,103.0,75,,,,Manual,Expired
BBLimS,1,2,10,1047,Buyer,123.0,10,,,,Manual,Replaced
